id,Title,Address,Phone,Email,Web,Schedule,About,Image,Reviews_number
465,Johnny Lorincz,"20971 Burbank Blvd, Ste 100, Woodland Hills, CA 91367",(818) 613-6163,NULL,musclemechanicsus.com,"Mon 5:00 am - 10:00 pm;
Tue 5:00 am - 10:00 pm;
Wed 5:00 am - 10:00 pm;
Thu 5:00 am - 10:00 pm;
Fri 5:00 am - 10:00 pm;
Sat 5:00 am - 10:00 pm;
Sun 5:00 am - 10:00 pm","FREE Consultation!Woodland Hills Personal Trainer Fitness and Health - Custom Personal or Couples Training and Nutrition Programs Based on Years of Experience.
Woodland Hills Personal Trainer Johnny Lorincz and his Training-a-holics concept is an individually customized training program influenced by the pioneers and professionals of the sport and by the PROS from today. It is based on the fundamentals of training to the latest science and available for all levels.  We offer training programs for any event, sport, modeling, weight management and functional fitness.  No training program will offer better results than ours",https://s3-media0.fl.yelpcdn.com/bphoto/iqtDp_AX7EffCVJ8QOg1_g/l.jpg,2
466,Gut Check Fitness Los Angeles,"21820 Marylee St, Woodland Hills, CA 91367",(818) 724-7568,NULL,gutcheckfitnessla.com,"Mon 5:00 am - 8:00 pm;
Tue 5:00 am - 8:00 pm;
Wed 5:00 am - 8:00 pm;
Thu 5:00 am - 8:00 pm;
Fri 5:00 am - 8:00 pm;
Sat 5:00 am - 8:00 pm;
Sun 5:00 am - 8:00 pm","Gut Check Fitness is the only proven exercise program out there created by a 2x Spartan Death Race winner &amp; Guinness World Record Holder. Gut Check offers fun yet challenging workouts guaranteed to get you in the best shape of your life. With Gut Check you will take yourself beyond your perceived limits and realize the amazing phenomenon that occurs when I can't becomes I can.
Gut Check Fitness Founder, Joe Decker, is Guiness World Record Holder, World's Fittest ManGut Check Fitness was founded in 2006 in San Diego by Joe Decker and his wife, Nicole. They started an affiliate program in 2013, fulfilling their dream of bringing their one-of-a-kind outdoor fitness company to cities around the world.Joe Decker is recognized as The Worlds Fittest Man, an ultra-endurance power athlete, renowned fitness trainer, and syndicated columnist who has helped thousands of women, men, kids and seniors get into shape and lose weight.This outdoor workout format that Joe created is the same that he used to break the Guinness World Recordsxc2xae 24-Hour Physical Fitness Challenge in 2000. It works like no other program out there, getting people into the best shape of their lives",https://s3-media0.fl.yelpcdn.com/bphoto/OS_EeXG2H7WHwCaQJn8dGA/l.jpg,1
467,Pilates Plus - Woodland Hills,"21779 Ventura Blvd, Woodland Hills, CA 91364",(818) 646-0955,NULL,pilatesplusla.co/woodland-hill…,"Mon 6:00 am - 8:00 pm;
Tue 8:30 am - 8:00 pm;
Wed 6:00 am - 8:00 pm;
Thu 8:30 am - 8:00 pm;
Fri 6:00 am - 8:00 pm;
Sat 8:30 am - 12:00 pm;
Sun 9:00 am - 12:00 pm","Let us help you burn, tighten and tone.Pilates Plus attacks excess bulk in the hips and thighs and tightens the body's core muscles for abs of steel. The intense 40 or 55-minute training sessions, which combine Pilates with strength training, achieve visible muscle definition significantly faster than Pilates or any other kind of Pilates-based workout.
Owner and lead trainer, Kristi Vacanti, opened Pilates Plus after training with the famous Sabastian Lagree on his former SPX method, now known as Lagree Fitness. xc2xa0Since then, Kristi has gone on to open 3 beautiful and successful studios,  in Studio City, Encino, Woodland Hills and Malibu",https://s3-media0.fl.yelpcdn.com/bphoto/Hn6k0dnxeyYDNwv9huxfbQ/l.jpg,83
468,"Tessa Gordon, LMFT","11712 Moorpark St, Ste 102, Los Angeles, CA 91604",(818) 697-1161,NULL,,"Mon Closed;
Tue 9:00 am - 7:00 pm;
Wed 9:00 am - 7:00 pm;
Thu 9:00 am - 7:00 pm;
Fri 9:00 am - 7:00 pm;
Sat 9:00 am - 3:00 pm;
Sun Closed","I provide online and in person psychotherapy, mindful movement and eating disorder coaching services. My specialty areas include Eating Disorders, Invisible Illnesses, Anxiety, Trauma, Relationship Dynamics, &amp; Life Transitions.
License and Certification:Tessa Gordon is a Licensed Marriage and Family Therapist, Registered Yoga and Mindful Movement Instructor. Tessa has been in the mental health and wellness field for a decade and established her private practice so that she may provide support to those who are navigating life and challenging problems. Combining clinical and lived experience with a love of social justice, her passion to help others find recovery and healing is integrated into each part of her work. She has been actively involved in the eating disorder recovery field for over a decade, and have provided therapy and counseling at a variety of community counseling centers, treatment facilities, and practice settings",https://s3-media0.fl.yelpcdn.com/bphoto/EPKsB1HjKX558KIF3I8kjw/o.jpg,0
469,Al Goldman Yoga,"Los Angeles, CA 90001",(818) 213-9648,NULL,algoldman.com,"Mon 9:00 am - 4:00 pm;
Tue 9:00 am - 4:00 pm;
Wed 9:00 am - 4:00 pm;
Thu 9:00 am - 4:00 pm;
Fri 10:00 am - 2:00 pm;
Sat Closed;
Sun Closed","Corporate &amp; private yoga in the Woodland Hills/Calabasas area!Weekly, monthly or one-off classes for businesses looking to bring ohm into the office as a morning, midday or evening treat. A typical corporate yoga class is an hour and includes deep relaxation, asanas, breath work and tips on how to reduce stress, minimizing health problems associated with long periods of time at a computer screen or sitting at a desk. It's the perfect way to promote a sense of workplace community, team build and increase mental alertness in the workforce.
",https://s3-media0.fl.yelpcdn.com/bphoto/AU-m4p-2cDQZdnnHqPJxfw/l.jpg,0
470,Muscle & Fitness Magazine,"21100 Erwin St, Woodland Hills, CA 91367",(818) 884-6800,NULL,flexonline.com,,,,0
471,Elite Martial Arts Karate and BJJ Dojo,"22311 Ventura Blvd, Ste 123, Woodland Hills, CA 91364",(818) 518-6021,NULL,emadojola.com,"Mon 4:00 pm - 5:00 pm & 7:30 pm - 8:30 pm;
Tue 4:00 pm - 7:30 pm;
Wed 4:00 pm - 5:00 pm & 7:30 pm - 8:30 pm;
Thu 4:00 pm - 7:30 pm;
Fri Closed;
Sat Closed;
Sun Closed","Karate classes and Brazilian jiu-jitsu classes for kids and adults in Woodland Hills (San Fernando Valley). Our style, Shinkyokushin karate, means the ultimate truth.We are a member of WKO (World Karate Organization), and we subscribe to their traditional principles.
EMA Dojo was created by Sensei Sholin, a third degree black belt in Kyokushin karate.  He is the Los Angeles representative of WKO (World Karate Organization) and strives to teach children and adults the true meaning of this classic style",https://s3-media0.fl.yelpcdn.com/bphoto/mXPbYuCvEbtCbdpCU2zBtQ/l.jpg,3
472,Ironcore Pilates,"22896 Ventura Blvd, Woodland Hills, CA 91364",(818) 222-4766,NULL,,,,,2
473,Allya Orlov,"Los Angeles, CA 91413",(818) 850-2311,NULL,OrganicLifeWellness.com,,"I practice a holistic approach to health and wellness, which means that I look at how all areas of your life are connected. Does stress at your job or in your relationship cause you to overeat? Does lack of sleep or low energy prevent you from exercising? As we work together, we will look at how all parts of your life affect your health as a whole.My approach is not to dwell on calories, carbs, fats, and proteins. It is not to create lists of restrictions or good and bad foods. Instead, I work with my clients to create a happy, healthy life in a way that is flexible, fun and rewarding.Together we'll work to reach your health goals in areas such as achieving optimal weight, reducing food cravings, increasing sleep, and maximizing energy. As we work together, you'll develop a deeper understanding of the food and lifestyle choices that work best for you and implement lasting changes that will improve your energy, balance and health.
",,7
474,Geiger's No Limits Training,"Los Angeles, CA 90077",(213) 814-7667,NULL,losangelesathleticcoach.com,"Mon 6:00 am - 8:00 pm;
Tue 6:00 am - 8:00 pm;
Wed 6:00 am - 8:00 pm;
Thu 6:00 am - 8:00 pm;
Fri 6:00 am - 8:00 pm;
Sat 7:00 am - 5:00 pm;
Sun Closed","Known as The Youth Sports Whisperer for his reputation in transforming young athletes mentally as well as physically; his specialization exists in advancing all young athletes, both girls and boys.Utilizing facilities in the region as well as offering in-home options for individual clients, Jon also conducts both group and team work without need for additional equipment on-site and on area and organizational fields. He currently acts as consulting specialist for many regional programs' physical and mental sport-specific conditioning, encompassing flexibility &amp; range of motion work, performance breakthrough mindset coaching; applying creative techniques crafted specifically to fit each individual's and/or organization's challenges in transcending previous historical, as well as self-imposed, limitations in achievement of maximal performance results.Jon serves the region encompassing Malibu to Thousand Oaks and down to Woodland Hills.
Jon serves the region encompassing Malibu to Thousand Oaks and down to Woodland Hills advancing achievement, confidence, and rehabbing while preventing future injuries.He works with individual athletes independently, as well as serving a wide swath of schools throughout the region and in a wide breadth of diverse sports ranging from champion Cross Country runners and Track and field athletes, Football Players, volley ball and soccer players, show-winning Equestrians, Hockey players helped on to division 1 scholarships, baseball, fencers and on. If your goal is to find the most effective and positively motivating, and nurturing sport-specific conditioning program, both mentally as well as physically, for your young athlete in this region...to have her or him be a part of this growing community that is transformed through Jon's mission to change each young life through this passion for sport, one life at a time...You can contact Jon through Geiger's No Limits",https://s3-media0.fl.yelpcdn.com/bphoto/Z_rfI5aiAJdWw7jN6PXqog/l.jpg,4
475,Ciara Dance Studio,"21250 Califa St, Ste 105A, Woodland Hills, CA 91367",(818) 888-7744,NULL,ciaradance.com,"Mon 9:00 am - 10:30 am & 2:00 pm - 8:00 pm;
Tue 9:00 am - 10:30 am & 2:00 pm - 8:30 pm;
Wed 9:00 am - 10:30 am & 2:00 pm - 8:30 pm;
Thu 9:00 am - 10:30 am & 2:30 pm - 8:30 pm;
Fri 9:00 am - 10:30 am & 2:30 pm - 7:30 pm;
Sat 8:30 pm - 6:00 pm;
Sun Closed","Ballet, Jazz, Modern, Tap, Hip-hop, Contemporary, Dunham, Pointe, Lyrical, Aerial, Yoga, Pilates, Zumba, Cardio Dance, Musical Theatre, Kindermusik.
CIARA DANCE has offered quality dance training to children and adults for over 23 years.  Experience counts, and at CIARA DANCE we bring amazing experience and knowledge to our student body.  We teach our students to Dream, Perform, and Grow through hard work and passion.  At CIARA DANCE,  our mission is to develop our students to their fullest potential in a supportive, non-competitive atmosphere. We offer quality training, personal attention, and a dedicated staff of professionals.  We are more than just great dancing, we are a family.CIARA DANCE offers beautiful studios in the heart of Warner Center.  With our  5 level sprung marley floors (the best ever), 22 foot ceilings for an incredible Aerial Program, state of the art sound and visual equipment and a staff of professional, experienced teachers, we have a beautiful facility and a studio that is warm and welcoming.  Stop in and try a class!",https://s3-media0.fl.yelpcdn.com/bphoto/OwYhs0ZvTMgCWJfL2K6ZCQ/l.jpg,9
476,Corefit,"22133 San Miguel St, Woodland Hills, CA 91364",(818) 222-2605,NULL,corefit.com,,,,0
477,Kung Fu For Kids,"5940 Shoup Ave, Woodland Hls, CA 91367",(818) 314-2054,NULL,KungFuForKids.org,"Mon 4:00 pm - 6:00 pm;
Tue 4:00 pm - 6:00 pm;
Wed 4:00 pm - 6:00 pm;
Thu 4:00 pm - 6:00 pm;
Fri Closed;
Sat Closed;
Sun Closed","Kung Fu Classes For Children And Teenagers - Ages 4 to 18.
",,0
478,Injury Recovery,"Woodland Hills, CA",(818) 425-2598,NULL,,,,,0
479,Kidz Aquatic,"Woodland Hillls, CA 91367",(818) 671-1905,NULL,kidzaquatic.com,"Mon 6:00 am - 8:00 pm;
Tue 6:00 am - 8:00 pm;
Wed 6:00 am - 8:00 pm;
Thu 6:00 am - 8:00 pm;
Fri 6:00 am - 8:00 pm;
Sat 6:00 am - 8:00 pm;
Sun 6:00 am - 8:00 pm","We believe in making swimming fun, and letting the swimmer enjoy the water, not fear it. We look at the age of child or adult and discover what they are capable of achieving, whether it is swimming a few feet or the entire pool. We do not force children or adults underwater; they need to be ready to try it on their own.
In 2006, she opened Kidz Aquatic, LLC private swim school in the San Fernando Valley and surrounding areas. When we started, we specialize in traveling to people's homes only. Now, we have expanded to having access to a few pools also (Rancho- Simi Valley, and West Hills during certain times of the year) if you do not have one. We are looking forward to giving you or your child swimming lessons",https://s3-media0.fl.yelpcdn.com/bphoto/FNtxhcnxfIu60e7ysLmrWg/o.jpg,0
480,Health & Human Performance,"20300 Ventura Blvd, Ste 245, Woodland Hills, CA 91364",(818) 704-5121,NULL,hhpchiro.com,"Mon Closed;
Tue 9:30 am - 6:00 pm;
Wed Closed;
Thu 9:30 am - 6:00 pm;
Fri Closed;
Sat 10:00 am - 3:00 pm;
Sun Closed","Safe At Home Update: We are OPEN! Our hours have changed as of March 23, 2020. As an essential service, we are still offering Chiropractic, however, massages will not be scheduled until further notice. If you'd like to be on the wait-list for when massages are available again, please call to let us know. We will also work with our elderly, pregnant, or immunocompromised patients if they'd like to come in when there are no other patients in the office. Please know we are taking extra precautions to sanitize the office, and practice social distancing. If you have traveled internationally in the past 2 weeks, have fever, cough, or shortness of breath, or have been around anyone who has, please cancel your appointment until you have been symptom free for 48 hours.Our updated business hours for Dr. Sanders and Dr. Cobey are Tuesdays and Thursdays from 9:30am-6pm and Saturday from 10am-3pm. Please call (818) 704-5121 to schedule!
In 2013, Health &amp; Human Performance took over Grosman Chiropractic Inc. that had been in this location since 2006.  The business has maintained the same core staff members and has added more friendly faces to the team!",https://s3-media0.fl.yelpcdn.com/bphoto/EorTWQOuaJ3y4GuL8BucwA/l.jpg,70
481,Ten Tigers,"22900 Ventura Blvd, Woodland Hills, CA 91364",(818) 805-3054,NULL,senseilincoln.com,"Mon 3:30 pm - 8:15 pm;
Tue 3:30 pm - 9:15 pm;
Wed 3:30 am - 8:15 pm;
Thu 3:30 pm - 9:15 pm;
Fri Closed;
Sat 10:00 am - 2:00 pm;
Sun Closed",,https://s3-media0.fl.yelpcdn.com/bphoto/CLfEonHK5Ywn09luw1vidA/l.jpg,22
482,A Radiant Life,"23100 Avenue San Luis, Woodland Hills, CA 91364",(818) 253-1581,NULL,aradiantlife.org,,"ARL offers Restorative, Gentle, and Vinyasa Flow classes, as well as Reiki Treatments. This quaint home studio is limited to 7 students per class.  Reservations may be made via text and are required as classes do fill up quickly.!Fall Class ScheduleT/Th10-11:30 AM             Gentle Yoga7:30-9:00 PM            Restorative YogaW/F10-11:30 AM             Vinyasa Flow Beginning/Level 1Reiki is offered in either 60 minute or 90 minute one-on-one sessions and may be scheduled by appointment during the following slots:Monday          3-7PMTuesday        3-9PMWednesday  3-7PMSpecial appointment requests may be available,  please inquire if none of the above times suit your schedule.
A Radiant Life Yoga is nestled in  Los Angeles, California, as a place to promote the health, healing, and  well-being of our students - in mind, body and spirit. We incorporate conscious breath (Pranayama), throughout each class to help our students trigger their relaxation response and turn their senses inward, concentrating on listening to their bodies and tuning out the outside world we come to a place of silence and self-awareness in our final relaxation and guided meditation.  It is through this silence that we begin to honor our bodies, our needs, our core being",https://s3-media0.fl.yelpcdn.com/bphoto/_YRIeEz_805vYXEH3xkmhQ/l.jpg,4
483,Karina Smirnoff's Dance,"6344 Topanga Canyon Blvd, Ste 2020, Los Angeles, CA 91367",(818) 232-7224,NULL,karinasmirnoffdance.com,,,https://s3-media0.fl.yelpcdn.com/bphoto/Qx9GI7AqgxJ3yyrP7TBhKA/l.jpg,19
484,Whole Being Martial Arts,"22030 Ventura Blvd, Ste 164, Los Angeles, CA 91364",(818) 517-1688,NULL,,,,https://s3-media0.fl.yelpcdn.com/bphoto/wx0KnABjAmRlH-8kVKqRHQ/o.jpg,0
485,Yoga Education Institute,"23371 Mulholland Dr, Ste 243, Woodland Hills, CA 91364",(866) 790-2040,NULL,yogaeducation.org,"Mon 7:00 am - 8:00 pm;
Tue 7:00 am - 8:00 pm;
Wed 7:00 am - 8:00 pm;
Thu 7:00 am - 8:00 pm;
Fri 7:00 am - 8:00 pm;
Sat 8:00 am - 8:00 pm;
Sun 8:00 am - 8:00 pm","Yoga Education Institute offers online and in-person yoga teacher training programs.
",https://s3-media0.fl.yelpcdn.com/bphoto/ZFjpN4GvMomB29KuvbNtGA/l.jpg,0
486,Wedding Dance Lesson LA,"343 Arden Ave, Glendale, CA 91203",(818) 903-0305,NULL,weddingdancelessonla.com,"Mon 10:00 am - 9:30 pm;
Tue 10:00 am - 9:30 pm;
Wed 10:00 am - 9:30 pm;
Thu 10:00 am - 9:30 pm;
Fri 10:00 am - 9:30 pm;
Sat 10:00 am - 9:30 pm;
Sun 10:00 am - 9:30 pm","Getting married? So exciting! Plans are done, now itxe2x80x99s time for fun! Let Kim at Wedding Dance Lesson LA create the perfect custom choreography at your own experience level for your one-in-a-lifetime First Dance. Even if itxe2x80x99s your first time on a dance floor, Kim can make you look great, have fun, and have your guests talking about your performance for years to come. Youxe2x80x99ll discover that learning can be comfortable and stress-free at our beautiful studio in Glendale. With 25 years experience in teaching and competing professionally in all styles of ballroom dance Kim has a unique perspective with which to create your dream dance - from a romantic waltz with dips and lifts to quirky comedy cha cha  to a surprise salsa or swing with the whole wedding party. Youxe2x80x99ll be amazed at what you can do!  LGBTQ friendly, too.
We are centrally located in Glendale at the beautiful Sloan &amp; Sloan Dance studio with two professional ballroom floors. We are open 7 days a week and can arrange private lessons at your convenience. Our studio provides the best technique and stylization from our certified ballroom teachers, who also teach all forms of couple dancing from beginners to top professional competitors in Standard, Latin and Social dances. The comfortable friendly atmosphere makes learning fun! The way it should be!",https://s3-media0.fl.yelpcdn.com/bphoto/YGeOdwt69aNbwf9SuFBJ1g/l.jpg,3
487,"Viveka S Rucker, DACM, L.Ac, ACN","5348 Topanga Canyon Blvd, Ste 205, Woodland Hills, CA 91364",(818) 591-8600,NULL,healingcompassnaturalhealthcen…,"Mon 10:30 am - 6:30 pm;
Tue 10:30 am - 6:30 pm;
Wed 10:30 am - 6:30 pm;
Thu 10:30 am - 6:30 pm;
Fri 10:30 am - 5:30 pm;
Sat 10:30 am - 5:30 pm;
Sun Closed","I specialize in acupuncture, nutrition, herbal medicine, diet &amp; healthy lifestyle guidance. At Healing Compass &amp; Qi Center we seek to be your source in the community for natural medicine with professional guidance. Some of my specialties are blood sugar management, internal conditions, cosmetic acupuncture &amp; microcurrent, dermatology, pain management, and healthy aging.
My partnership with Linda Read-Shelby, M.S.O.M.,  L.Ac., A.C.N. represents a combined 24 years of practice, the common vision for a naturally healthy community, and a shared passion for loving, compassionate service with integrity, plus keeping it fun as we navigate the twists and turns of aging through menopause and beyond. I met Linda when I first started my practice and discovered she had an office  in the same building, just across the courtyard pond from mine. The center she was working with had an open house, and I went over there to see what my neighbors were up to. Linda's treatment room, welcoming presence, and gorgeous display of Chinese herbs instantly conveyed to me that here was someone with a sensibility like mine. We eventually shared my office space in that building and found that we were indeed a successful team. A decade later, growing beyond our private practices we merged in 2011 to become the Co-Founders and Directors of Healing Compass &amp; Qi Center, creating a we",https://s3-media0.fl.yelpcdn.com/bphoto/LVnE-jjhEPOQMHuUxSvASw/l.jpg,3
488,My Little Swimmer,"5654 Oakdale Ave, Woodland Hills, CA 91367",(818) 716-1582,NULL,mylittleswimmer.com/#about-les…,"Mon 9:00 am - 6:00 pm;
Tue Closed;
Wed 9:00 am - 6:00 pm;
Thu 9:00 am - 6:00 pm;
Fri 9:00 am - 6:00 pm;
Sat 9:00 am - 6:00 pm;
Sun 9:00 am - 6:00 pm","We specialize in individualized programs for each swimmer, including children with special needs. We take the whole child approach factoring in the child's chronological age, developmental level, swim ability, physical motor ability, attentional level, sensory needs, as well as helping parents remain calm, so that your little one can flourish in the water. Choose from our online flexible scheduling, meaning come as little as once a week or up to six times a week choosing the time that best works for you (providing that lesson time hasnxe2x80x99t already been reserved by another swimmer). Frequent lessons encourages fast learning. Sign up early in the season (February- April) to reserve your lessons. Weekends and afternoons book early. Adult lessons are welcome as well. We are open April 1st - October 1st each year.Baby &amp; Me Group Lessons (1:3) 6m-36mGroup Lessons (1:3) 3-4yPrivate Lessons (1:1) all agesSemi Private Lessons (1:2) all ages of similar ability
After years of teaching swimming in his twenties, Andy switch careers to work in post production. However, that field was not very satisfying or rewarding, and once Andy taught his own children to swim he remembered his love for teaching young children to swim. He and his wife decided to open their own swim school and it has been a wonderful experience that they are both very grateful for. Working with families and children has its own very special rewards, but helping kids learn life saving skills and the enjoyment of the water has been life changing for us all. We hope you become part of our swim family",https://s3-media0.fl.yelpcdn.com/bphoto/_bMbUwcOFC5JKdgQVFg74w/l.jpg,59
489,Diva Dance,"19901 1/2 Ventura Blvd, Woodland Hills, CA 91364",(747) 444-9887,NULL,,"Mon 12:00 pm - 9:00 pm;
Tue 12:00 pm - 9:00 pm;
Wed 12:00 pm - 9:00 pm;
Thu 12:00 pm - 9:00 pm;
Fri 12:00 pm - 9:00 pm;
Sat 10:00 am - 4:00 pm;
Sun Closed",,https://s3-media0.fl.yelpcdn.com/bphoto/ZWw_tMGM0BwnN38WPI6SUA/l.jpg,5
490,LA Fitness,"6401 Canoga Ave, Woodland Hills, CA 91367",(818) 224-7820,NULL,lafitness.com,,,https://s3-media0.fl.yelpcdn.com/bphoto/jm3lq5rJ4Cxw0mcSrDJXkQ/l.jpg,501
491,MYSHKINA & SEDIG life makeover,"6250 Canoga Ave, Ste 376, Woodland Hills, CA 91367",(310) 721-6991,NULL,myshkinasedig.wix.com/myshkina…,,,https://s3-media0.fl.yelpcdn.com/bphoto/tWHdMmRDXpfgz8WITGVL9A/o.jpg,0
492,ascendedheart,"Camarillo, CA 93012",(805) 501-9986,NULL,ascendedheart.com,"Mon Open 24 hours;
Tue Open 24 hours;
Wed Open 24 hours;
Thu Open 24 hours;
Fri Open 24 hours;
Sat Open 24 hours;
Sun Open 24 hours","Mobile holistic healing business. (Reiki, yoga instruction, meditation instruction)
2019, december. It is a relatively new business but I have achieved a lot and have been to many events performing Reiki healings, taught yoga flows many times, and have experience with meditation instruction",https://s3-media0.fl.yelpcdn.com/bphoto/PHLDww6C3mgBIzkppHXZMw/l.jpg,0
493,WRT Water Release Therapy® & Watsu®,"6 Harbor Way, Ste 233, Santa Barbara, CA 93109",(805) 569-7047,NULL,tolifewithwatsu.com,"Mon 10:00 am - 2:00 pm;
Tue 10:00 am - 2:00 pm;
Wed 10:00 am - 2:00 pm;
Thu 10:00 am - 2:00 pm;
Fri 10:00 am - 2:00 pm;
Sat 10:00 am - 2:00 pm;
Sun 10:00 am - 2:00 pm","Diane Feingold is an experienced Watsuxc2xae,WaterDance and WRT Water Release Therapistxc2xae and Instructor in Santa Barbara, CA and Worldwide.She learned Watsuxc2xae from the founder and brilliant creator, Harold Dull, and a host of gifted creators of the Water Arts at Harbin Hot Springs where Watsuxc2xae was born.Diane offers Private Sessions:Watsuxc2xae, WaterDance, and WRT Water Release Therapyxc2xae.Diane offers double simultaneous WRT Sessions (at same time) means; with Diane and your choice of one of our Certified WRT Providers if desired.  This is an option for partners, Mother/daughters, siblings, friends etc.  Or consecutively with Diane if preferred.Contact: dianefeingold@gmail.com805.569.7047One can also receive pvt. WRT Intensives which consists of 2 to 3 consecutive days from 6 to 12 hours Water work. The experience often results in deep healing and transformation.Diane is a powerful healer, Instructor, Yogini, Water Therapist, and Life Coach with many offerings for whole person healing
Watsuxc2xae, WaterDance, Water Therapy, Yoga, Breathwork, WRT Water Release Therapyxc2xae Private Sessions, WRT Intensives and small group WRT Water Release Therapyxc2xae 'Provider' Trainings. Pvt. HED (Human Energy Design) Readings by appt. only",https://s3-media0.fl.yelpcdn.com/bphoto/8uD3cdKF6PO08bd7VcWlyg/l.jpg,6
494,YogaWorks Woodland Hills,"6256 Topanga Canyon Blvd, Woodland Hills, CA 91367",(818) 337-3571,NULL,yogaworks.com,,"We're excited to bring the entire YogaWorks community together through our new live streaming class option, which will live stream a selection of our classes from across the country! Get ready to explore new teachers as you continue your journey with us online and easily find that perfect class to fit any mood.
The founders of YogaWorks, Maty Ezraty and Chuck Miller believed in Yoga's power to change lives. They came together from different parts of the world, from different Yoga disciplines, and from different life experiences to share a passion for, and commitment to, bringing Yoga to more people. They did not aspire to be businessmen or trendsetters; they were first and foremost students, teachers, and practitioners. They got on their mats to practice everyday - it's how they lived and grew.When they founded their school, they saw an opportunity, indeed an obligation, to bring together many styles of Yoga under one generous, open, flowing umbrella - YogaWorks. They sought to uphold the 5,000-year-old tradition of Yoga by infusing their programs with integrity, quality, authenticity, and accessibility to all who came through their doors. Their hearts and minds were always open. And their vision inspired thousands",https://secure-cf-c.ooyala.com/ltOWd4YzE619cXmIjyiVJ-FlrXoNHJ0v/Ut_HKthATH4eww8X4xMDoxOjBhOzV3Va,63
495,JamaniYoga & Wellness,"20700 Ventura Blvd, Ste 225, Woodland Hills, CA 91364",,NULL,jamaniyoga.com,,"Start your wellness journey with us!
",https://s3-media0.fl.yelpcdn.com/bphoto/Dbx6B115HV0DTB7HRqVyNQ/o.jpg,0
496,GOLFTEC - Woodland Hills,"21494 Victory Blvd, Woodland Hills, CA 91367",(818) 883-7712,NULL,golftec.com,"Mon 10:00 am - 8:00 pm;
Tue 10:00 am - 8:00 pm;
Wed 10:00 am - 8:00 pm;
Thu 10:00 am - 8:00 pm;
Fri 10:00 am - 8:00 pm;
Sat 9:00 am - 8:00 pm;
Sun 10:00 am - 6:00 pm",,https://s3-media0.fl.yelpcdn.com/bphoto/WxbRQiR__yd9mKppzuvdkQ/l.jpg,1
497,Mission Oaks Counseling & Wellness Center,"1100 Flynn Rd, Ste 201, Camarillo, CA 93012",(805) 419-0449,NULL,mocwc.com,"Mon 7:30 am - 10:00 pm;
Tue 7:30 am - 10:00 pm;
Wed 7:30 am - 10:00 pm;
Thu 7:30 am - 10:00 pm;
Fri 7:30 am - 10:00 pm;
Sat 7:30 am - 10:00 pm;
Sun Closed","Mission Oaks is an organization for healing that provides the tools for revitalization of the mind, body, and spirit.  Our treatment philosophy considers all layers of a person to ensure overall wellness and vitality: the psychological, the physical, the spiritual, the social and the intellectual.  MOCWC is staffed by professional and licensed practitioners that utilize healing modalities which support a nurturing environment for adults, adolescents, children, couples, and families. Our practitioners are personally invested in a positive transformation and provide the highest quality of services and programs.  Our therapies, programs, groups, classes and workshops are inherently designed to release the symptoms of disease, disorders and trauma and are critical in promoting optimal physical and emotional balance, wellness, and quality of life.We provide psychotherapy, yoga, meditation, health nurse, massage therapy, workshops, group therapy, couples therapy, estheticians.
The co-owners, Michelle Wonders and Tristen Vance, are both women with psychotherapy degrees as Licensed Marriage and Family Therapists. The vision was to create an environment that promoted not only therapy - but many modalities to address a person's overall health and wellness needs",https://s3-media0.fl.yelpcdn.com/bphoto/3rLtN-_caqog4C5qkNGBpw/l.jpg,8
498,Happy Swimmers Mobile Swim School,"Encino, CA 91436",(818) 530-4117,NULL,happyswimmers.com,"Mon 8:00 am - 10:00 pm;
Tue 8:00 am - 10:00 pm;
Wed 8:00 am - 10:00 pm;
Thu 8:00 am - 10:00 pm;
Fri 8:00 am - 10:00 pm;
Sat 8:00 am - 10:00 pm;
Sun 8:00 am - 10:00 pm",,https://s3-media0.fl.yelpcdn.com/bphoto/-MNlkLmsJ14Wb83Cb-YPMw/l.jpg,45
499,America Media,"21100 Erwin St, Woodland Hills, CA 91367",(818) 884-6800,NULL,flexonline.com,,,,0
500,Vinnie Tortorich UltraFitness,"22909 Mariano St, Woodland Hills, CA 91367",(310) 633-4404,NULL,,,,https://s3-media0.fl.yelpcdn.com/bphoto/dVr2QECgfabBIDz6EqsXcQ/l.jpg,0
501,Rouhi Dance Studio,"6431 Independence Ave, Woodland Hills, CA 91367",(818) 609-9991,NULL,rouhidancestudio.com,,"We are proud to offer the finest dance lessons in one of the most renowned dance studios in Los Angeles. Our classes include but are not limited to: salsa, tango, ballroom, Latin, cardio salsa, hip-hop, belly dancing as a workout, Persian dance and more! We offer first dances so that your wedding is unforgettable, and private lessons are available as well.Whether you're a novice or an experience dancer, Rouhi Dance Studio is the perfect place to learn. Every last Sunday of each month, we feature a dance open house where you can try out a lesson for free!  Our highly recognized and talented instructors will provide personal attention in a relaxed and fun atmosphere.All belly and Persian dancing classes are instructed by Rouhi herself. A mistress of the art of belly dancing, Rouhi can show you how to stretch and move in a way you never imagined; her technique and attention to detail are flawless.Get in shape and have fun in all of our high energy and creative dance classes!
Rouhi Dance Studio first opened its doors in 1997. The owner, Rouhi, opened the studio due to her love for dance and her dream of sharing her many years of experience!",https://s3-media0.fl.yelpcdn.com/bphoto/509crf96gzarzPiKRI9yWA/l.jpg,10
502,Jerry,"6401 Canoga Ave, Los Angeles, CA 91367",(818) 224-7820,NULL,,,,,0
